candidate_name,candidate_id,year,office,district,TOT,FND,COMM,ADS,INFO,OVERHEAD,CONTRIB,GENERAL,LOGTOT,LOGFND,LOGCOMM,LOGADS,LOGINFO,LOGOVERHEAD,LOGCONTRIB,LOGGENERAL,votes_name,party,votes,total_votes,vote_share,winning_votes,winner,incumbent,race_total,opposing_total,contested
"GAINES, EDWARD T",1265444,2016,S,1,722100.8,53889.23,68719.09,0.0,222241.57,79867.54000000001,32700.0,344849.89,13.489920020318456,10.894685922460273,11.137782314428431,0.0,12.311520222398062,11.288124791387023,10.395130356885344,12.750864499880118,Ted Gaines,REP,287314,448816,64.01598873480447,287314,1,1,738928.27,16827.469999999972,1
"ROWEN, ROBERT J.",1383735,2016,S,1,16827.47,100.0,640.18,5128.0,400.0,7023.14,0.0,6268.18,9.73076794908726,4.605170185988092,6.461749386810349,8.542470998600505,5.991464547107983,8.856965690461257,0.0,8.74324132035777,Rob Rowen,DEM,161502,448816,35.984011265195534,287314,0,0,738928.27,722100.8,1
"DODD, BILL",1359048,2016,S,3,4098682.81,181669.96,397477.07,886875.0,206297.6,1513997.48,74054.17,1672319.63,15.226176214203946,12.109946913253319,12.892892525878056,13.695459326896446,12.23707506544829,14.230264048513153,11.212552131412233,14.329722220624786,Bill Dodd,DEM,207927,357628,58.140581833637185,207927,1,0,4679924.35,581241.5399999996,1
"YAMADA, MARIKO M.",1295701,2016,S,3,581241.54,5311.44,147757.78,500.0,258833.45,119906.04,11750.0,412402.67,13.27292168093907,8.577618263912267,11.903329590396421,6.214608098422191,12.46394008364317,11.694463715059571,9.371608519572305,12.929755505400784,Mariko Yamada,DEM,149701,357628,41.85941816636281,207927,0,0,4679924.35,4098682.8099999996,1
"GALGIANI, CATHLEEN",1273495,2016,S,5,1914684.12,47866.5,536197.19,577.46,374323.28,478238.33,16110.0,958964.43,14.465063216599429,10.77617116502794,13.192257264188392,6.358639175927818,12.832875088057811,13.07786448554111,9.68719547617102,13.773609262458198,Cathleen Galgiani,DEM,174847,308451,56.68550272166406,174847,1,1,2140789.18,226105.06000000006,1
"NAKANISHI, ALAN S.",1005260,2016,S,5,226105.06,0.0,41434.69,200.0,25500.0,70779.14,0.0,67134.69,12.328755037493751,0.0,10.631873731657473,5.298317366548036,10.146433731146518,11.167319603500689,0.0,11.114456178934518,Alan Nakanishi,REP,133604,308451,43.31449727833594,174847,0,0,2140789.18,1914684.12,1
"GLAZER, STEVEN",1355210,2016,S,7,1291428.86,31655.62,11937.96,3418.18,359479.49,258550.41,260205.78,406491.25,14.071259806764347,10.362670978949744,9.387478518077982,8.13686352466458,12.792412403055382,12.462845963589888,12.469228058495604,12.91531768252308,Steve Glazer,DEM,270485,405607,66.6864723735044,270485,1,0,1299634.05,8205.189999999944,1
"RUBAY, JOSEPH A.",1299399,2016,S,7,8205.19,0.0,0.0,0.0,0.0,8010.0,195.19,0.0,9.012522159867904,0.0,0.0,0.0,0.0,8.988446040062405,5.27397344315852,0.0,Joseph Alexander Rubay,REP,135122,405607,33.3135276264956,270485,0,0,1299634.05,1291428.86,1
"SKINNER, NANCY",1303644,2016,S,9,3245480.21,96688.24,344125.39,1410.0,234057.9,1425180.4300000004,65415.24,676281.53,14.992773881763368,11.479247060809081,12.748761375753384,7.2513449833722134,12.36332379963006,14.169808981213427,11.088510537821527,13.424364732824873,Nancy Skinner,DEM,236133,379706,62.18837732350819,236133,1,0,3970358.04,724877.8300000001,1
"SWANSON, SANDRE",1268691,2016,S,9,724877.83,111905.1,65417.13000000001,44279.1,106850.87,371243.51,4456.49,328452.2,13.49375840929252,11.625406469668949,11.088539429754011,10.698268061412762,11.579189402969645,12.82461348746476,8.40211673965487,12.702146596425756,Sandré R. Swanson,DEM,143573,379706,37.811622676491815,236133,0,0,3970358.04,3245480.21,1
