,candidate_name,candidate_id,election,office,district,year
0,"GAINES, EDWARD T",1265444,2016 GENERAL,S,1,2016
1,"ROWEN, ROBERT J.",1383735,2016 GENERAL,S,1,2016
2,"DODD, BILL",1359048,2016 GENERAL,S,3,2016
3,"YAMADA, MARIKO M.",1295701,2016 GENERAL,S,3,2016
4,"GALGIANI, CATHLEEN",1273495,2016 GENERAL,S,5,2016
5,"NAKANISHI, ALAN S.",1005260,2016 GENERAL,S,5,2016
6,"GLAZER, STEVEN",1355210,2016 GENERAL,S,7,2016
7,"RUBAY, JOSEPH A.",1299399,2016 GENERAL,S,7,2016
8,"SKINNER, NANCY",1303644,2016 GENERAL,S,9,2016
9,"SWANSON, SANDRE",1268691,2016 GENERAL,S,9,2016
10,"KIM, JANE",1380847,2016 GENERAL,S,11,2016
11,"WIENER, SCOTT D.",1376435,2016 GENERAL,S,11,2016
12,"CIARDELLA, RICHARD",1383605,2016 GENERAL,S,13,2016
13,"HILL, JERRY A.",1290757,2016 GENERAL,S,13,2016
14,"BEALL, JIM",1251768,2016 GENERAL,S,15,2016
15,"CAMPOS, NORA",1318599,2016 GENERAL,S,15,2016
16,"KAIN, PALMER",1363609,2016 GENERAL,S,17,2016
17,"MONNING, WILLIAM W.",1297947,2016 GENERAL,S,17,2016
18,"JACKSON, HANNAH-BETH",1005197,2016 GENERAL,S,19,2016
19,"WALCH, COLIN",1383292,2016 GENERAL,S,19,2016
20,"ERVIN, JOHNATHON",1375590,2016 GENERAL,S,21,2016
21,"WILK, SCOTT T.",1339656,2016 GENERAL,S,21,2016
22,"MORRELL, MICHAEL L.",1252076,2016 GENERAL,S,23,2016
23,"O'DONNELL, RONALD J.",1363147,2016 GENERAL,S,23,2016
24,"ANTONOVICH, MICHAEL D.",1000095,2016 GENERAL,S,25,2016
25,"PORTANTINO, ANTHONY",1267043,2016 GENERAL,S,25,2016
26,"FAZIO, STEVE",1379424,2016 GENERAL,S,27,2016
27,"STERN, HENRY",1374151,2016 GENERAL,S,27,2016
28,"CHANG, LING-LING",1357038,2016 GENERAL,S,29,2016
29,"NEWMAN, JOSH B.",1377780,2016 GENERAL,S,29,2016
30,"REED, RICHARD",1383678,2016 GENERAL,S,31,2016
31,"ROTH, RICHARD D.",1343716,2016 GENERAL,S,31,2016
32,"LARA, RICARDO",1304215,2016 GENERAL,S,33,2016
33,"ROBSON, HONOR MIMI",1386195,2016 GENERAL,S,33,2016
34,"BRADFORD, STEVEN",1235136,2016 GENERAL,S,35,2016
35,"FURUTANI, WARREN",1265441,2016 GENERAL,S,35,2016
36,"GRAYSON, ARI E.",1383650,2016 GENERAL,S,37,2016
37,"MOORLACH, JOHN",1241305,2016 GENERAL,S,37,2016
38,"ATKINS, TONI G.",1314678,2016 GENERAL,S,39,2016
39,"RENISON, JOHN",1383698,2016 GENERAL,S,39,2016
40,"DAHLE, BRIAN",1224716,2016 GENERAL,A,1,2016
41,"COENEN, DONN",1385525,2016 GENERAL,A,1,2016
42,"WOOD, JAMES D.",1353393,2016 GENERAL,A,2,2016
43,"ANTON, KENNETH R.",1260422,2016 GENERAL,A,2,2016
44,"GALLAGHER, JAMES",1357069,2016 GENERAL,A,3,2016
45,"RITCHIE, EDWARD H",1383126,2016 GENERAL,A,3,2016
46,"AGUIAR-CURRY, CECILIA",1379566,2016 GENERAL,A,4,2016
47,"SCHAUPP, CHARLES E.",1301596,2016 GENERAL,A,4,2016
48,"BIGELOW, FRANK",1342402,2016 GENERAL,A,5,2016
49,"CARABAS, ROBERT J",1381784,2016 GENERAL,A,5,2016
50,"CAPLES, BRIAN",1363003,2016 GENERAL,A,6,2016
51,"KILEY, KEVIN",1377646,2016 GENERAL,A,6,2016
52,"BROWN, RYAN K.",1383289,2016 GENERAL,A,7,2016
