candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000000,1048772,12015,,I,12/24/77,
1000000,1069860,-12011,1997,I,1/6/97,
1000000,1072242,-12011,1998,I,3/16/98,
1000000,1023705,-12011,,I,12/24/77,
1000000,1047765,12015,,I,12/24/77,
1000000,1250968,12011,2001,I,12/2/02,9/9/10
1000000,1292932,12011,2005,Y,11/27/06,
1000000,1297464,12011,2007,I,4/16/07,9/9/10
1000000,1065615,12011,1995,T,10/19/95,
1000000,1234856,12011,2001,Y,5/1/01,
1000002,1022942,-12011,,I,12/24/77,
1000002,1026752,12015,,I,12/24/77,
1000003,1025294,12015,,I,12/24/77,
1000003,1025394,12015,,I,12/24/77,
1000003,1025572,12014,,I,12/24/77,
1000003,1018660,-12011,,I,12/24/77,
1000003,1025648,12014,,I,12/24/77,
1000003,1018427,12015,,I,12/24/77,
1000003,1043567,12015,,I,12/24/77,
1000003,1047892,12015,,I,12/24/77,
1000003,1025601,12014,,I,12/24/77,
1000003,1025783,12014,,I,12/24/77,
1000003,1038436,12015,,I,12/24/77,
1000003,1049097,12015,,I,12/24/77,
1000003,1025804,12014,,I,12/24/77,
1000005,1023705,12015,,I,12/24/77,
1000012,1030876,12015,,I,12/24/77,
1000012,1024049,-12011,,I,12/24/77,
1000013,1023029,-12011,,I,12/24/77,
1000014,1025613,12014,,I,12/24/77,
1000014,1018493,-12011,,I,12/24/77,
1000016,1018311,-12011,,I,12/24/77,
1000017,1024831,12015,,I,12/24/77,
1000017,1023164,-12011,,I,12/24/77,
1000018,1023599,-12011,,I,12/24/77,
1000020,1056346,12015,1992,I,5/22/92,
1000021,1017951,-12011,,I,12/24/77,
1000022,1022910,-12011,,I,12/24/77,
1000023,1023801,-12011,,I,12/24/77,
1000025,1018479,12011,,I,12/24/77,
1000030,1020266,-12011,,I,12/24/77,
1000030,1022732,-12011,,I,12/24/77,
1000033,1022573,-12011,,I,12/24/77,
1000033,1047382,12015,,I,12/24/77,
1000034,1029104,12011,1999,I,2/17/00,
1000034,1033073,12011,1999,I,2/17/00,
1000034,1050461,12011,1999,Y,2/17/00,
1000036,1022751,-12011,,I,12/24/77,
1000037,1024517,-12011,,I,12/24/77,
1000037,1018347,-12011,,I,12/24/77,
1000037,1030536,12015,,I,12/24/77,
1000050,1023590,-12011,,I,12/24/77,
1000054,1018373,-12011,,I,12/24/77,
1000054,1018922,-12011,,I,12/24/77,
1000055,1018415,-12011,,I,12/24/77,
1000060,1021758,-12011,,I,12/24/77,
1000061,1018537,12015,,I,12/24/77,
1000063,1021078,-12011,,I,12/24/77,
1000063,1021046,12015,,I,12/24/77,
1000064,1047736,12015,,I,12/24/77,
1000064,1018537,-12011,,I,12/24/77,
1000065,1021493,-12011,,I,12/24/77,
1000066,1023479,-12011,,I,12/24/77,
1000067,1024003,-12011,,I,12/24/77,
1000068,1025016,-12011,,I,12/24/77,
1000069,1023523,-12011,,I,12/24/77,
1000070,1023131,-12011,,I,12/24/77,
1000070,1047408,12015,,I,12/24/77,
1000070,1043261,12015,,I,12/24/77,
1000070,1053085,12011,1991,I,4/5/91,
1000072,1024413,-12011,,I,12/24/77,
1000073,1024803,12015,,I,12/24/77,
1000074,1025614,12014,,I,12/24/77,
1000074,1022633,-12011,,I,12/24/77,
1000078,1023740,-12011,,I,12/24/77,
1000079,1020245,-12011,,I,12/24/77,
1000080,1024819,-12011,,I,12/24/77,
1000082,1018833,-12011,,I,12/24/77,
1000082,1019973,-12011,,I,12/24/77,
1000082,1043459,12015,,I,12/24/77,
1000085,1024982,-12011,,I,12/24/77,
1000086,1022784,-12011,,I,12/24/77,
1000086,1023190,-12011,,I,12/24/77,
1000086,1026000,12014,,I,12/24/77,
1000087,1025221,12015,,I,12/24/77,
1000087,1019842,-12011,,I,12/24/77,
1000087,1047417,12015,,I,12/24/77,
1000087,1047016,12015,,I,12/24/77,
1000088,1023358,-12011,,I,12/24/77,
1000088,1048013,-12011,1991,I,4/19/91,
1000088,1054750,-12011,1992,I,1/9/92,
1000088,1030819,-12011,1991,I,7/22/91,
1000091,1048210,-12011,,I,12/24/77,
1000091,1020081,-12011,,I,12/24/77,
1000091,1053405,12011,1991,I,3/19/91,
1000092,1024346,-12011,,I,12/24/77,
1000093,1018614,-12011,,I,12/24/77,
1000095,1018710,-12011,,I,12/24/77,
1000095,1022804,12015,,I,12/24/77,
1000095,1379080,12011,2015,Y,8/10/15,
1000095,1384178,12011,2015,T,3/22/16,12/31/16
1000095,1343950,12011,2017,Y,1/13/12,
1000097,1026750,12015,,I,12/24/77,
1000100,1024459,-12011,,I,12/24/77,
1000101,1024024,12015,,I,12/24/77,
1000102,1024813,12015,,I,12/24/77,
1000102,1034925,12015,,I,12/24/77,
1000106,1037273,12015,,I,12/24/77,
1000107,1035614,12015,,I,12/24/77,
1000108,1024862,-12011,,I,12/24/77,
1000109,1024404,-12011,,I,12/24/77,
1000109,1027642,12015,,I,12/24/77,
1000110,1022872,-12011,,I,12/24/77,
1000111,1024623,-12011,,I,12/24/77,
1000112,1025777,12014,,I,12/24/77,
1000112,1018718,-12011,,I,12/24/77,
1000112,1043718,12015,,I,12/24/77,
1000112,1047688,12015,,Y,12/24/77,
1000112,1047688,12011,1999,T,1/5/00,1/30/04
1000120,1024181,-12011,,I,12/24/77,
1000121,1024136,-12011,,I,12/24/77,
1000122,1018868,-12011,,I,12/24/77,
1000126,1021339,-12011,,I,12/24/77,
1000128,1025019,12015,,I,12/24/77,
1000128,1020034,-12011,,I,12/24/77,
1000128,1025383,12015,,I,12/24/77,
1000128,1025339,12014,,I,12/24/77,
1000128,1025784,12014,,I,12/24/77,
1000128,1025987,12015,,I,12/24/77,
1000128,1025743,12014,,I,12/24/77,
1000128,1025219,12015,,I,12/24/77,
1000128,1025504,12015,,I,12/24/77,
1000128,1025613,12014,,I,12/24/77,
1000128,1025297,12015,,I,12/24/77,
1000129,1024928,12015,,I,12/24/77,
1000132,1022890,-12011,,I,12/24/77,
1000139,1047789,12015,,I,12/24/77,
1000140,1024918,-12011,,I,12/24/77,
1000143,1037133,12015,,I,12/24/77,
1000148,1037270,12015,,I,12/24/77,
1000153,1024870,12015,,I,12/24/77,
1000169,1024895,12015,,I,12/24/77,
1000175,1049570,-12011,1990,I,12/7/90,
1000175,1019792,-12011,1991,I,7/22/91,
1000175,1017938,-12011,1991,I,7/22/91,
1000175,1053716,-12011,1991,I,7/22/91,
1000175,1042448,-12011,1991,I,7/22/91,
1000175,1025219,12015,,I,12/24/77,
1000175,1018333,-12011,,I,12/24/77,
1000175,1022299,12015,,I,12/24/77,
1000175,1043479,12015,,I,12/24/77,
1000175,1047475,12015,,I,12/24/77,
1000175,1025403,12015,,I,12/24/77,
1000175,1025613,12014,,I,12/24/77,
1000175,1042820,12015,,I,12/24/77,
1000175,1231912,12011,2001,Y,1/11/01,
1000176,1018516,-12011,,I,12/24/77,
1000178,1033640,12015,,I,12/24/77,
1000179,1019581,12015,,I,12/24/77,
1000179,1020123,-12011,,I,12/24/77,
1000179,1048710,12015,,I,12/24/77,
1000179,1064640,12011,1995,I,3/8/96,
1000180,1020666,-12011,,I,12/24/77,
1000181,1024097,-12011,,I,12/24/77,
1000181,1025685,12014,,I,12/24/77,
1000183,1020457,-12011,,I,12/24/77,
1000184,1025365,12015,,I,12/24/77,
1000184,1021913,-12011,,I,12/24/77,
1000184,1036926,12015,,I,12/24/77,
1000184,1025743,12014,,I,12/24/77,
1000184,1018364,-12011,,I,12/24/77,
1000185,1023430,-12011,,I,12/24/77,
1000186,1024059,-12011,,I,12/24/77,
1000187,1018739,-12011,,I,12/24/77,
1000188,1024763,12015,,I,12/24/77,
1000189,1053040,-12011,1991,I,8/5/91,
1000189,1047423,12015,,I,12/24/77,
1000189,1018729,-12011,,I,12/24/77,
1000189,1020174,12011,,I,12/24/77,
1000192,1025369,-12011,,I,12/24/77,
1000192,1020457,12015,,I,12/24/77,
1000195,1019992,12015,,I,12/24/77,
1000195,1031780,12015,,I,12/24/77,
1000195,1022908,-12011,,I,12/24/77,
1000196,1062623,-12011,1996,I,3/4/96,
1000196,1069456,-12011,1996,I,11/25/96,
1000196,1041993,12015,,I,12/24/77,
1000196,1022948,-12011,,I,12/24/77,
1000196,1322401,12011,2009,Y,10/23/09,
1000196,1071479,12011,1997,I,10/17/97,
1000196,1048279,12011,1989,I,6/20/89,1/5/04
1000196,1221279,12011,1999,T,12/2/99,1/5/04
1000197,1024031,-12011,,I,12/24/77,
1000198,1022065,-12011,,I,12/24/77,
1000198,1025648,12014,,I,12/24/77,
1000198,1021934,12015,,I,12/24/77,
1000199,1021061,-12011,,I,12/24/77,
1000200,1023920,-12011,,I,12/24/77,
1000201,1024277,-12011,,I,12/24/77,
1000202,1024467,-12011,,I,12/24/77,
1000203,1024620,-12011,,I,12/24/77,
1000204,1024494,12015,,I,12/24/77,
1000204,1025153,-12011,,I,12/24/77,
1000206,1060526,-12011,,I,12/24/77,
