candidate_name,candidate_id,election,office,district,year
"EVANS, MERVIN",1236517,2012 GENERAL,A,62,2012
"PARK, DOO",,2010 GENERAL,S,8,2010
"WEBER, JR., ROBERT G.",1005011,2010 GENERAL,S,26,2010
"BELL, JR., RAYMOND M.",1240885,2010 GENERAL,A,21,2010
"MURPHY, JOHN",1305080,2008 GENERAL,A,75,2008
"JOHNSON, TIMOTHY",1230661,2004 GENERAL,S,35,2004
"MURPHY, JOHN",1305080,2004 GENERAL,S,39,2004
"SNOOK, AL",1005759,2004 GENERAL,A,68,2004
"BELL, JR., RAYMOND M.",1240885,2002 GENERAL,A,21,2002
"MARTINEZ JR., RICHARD",,2002 GENERAL,A,29,2002
"SNOOK, AL",99120,2002 GENERAL,A,68,2002
