candidate_name,candidate_id,election,office,district,year
"EVANS, MERVIN",,2012 GENERAL,A,62,2012
"PARK, DOO",,2010 GENERAL,S,8,2010
"WEBER, JR., ROBERT G.",,2010 GENERAL,S,26,2010
"BELL, JR., RAYMOND M.",,2010 GENERAL,A,21,2010
"MURPHY, JOHN",,2008 GENERAL,A,75,2008
"JOHNSON, TIMOTHY",,2004 GENERAL,S,35,2004
"MURPHY, JOHN",,2004 GENERAL,S,39,2004
"SNOOK, AL",,2004 GENERAL,A,68,2004
"BELL, JR., RAYMOND M.",,2002 GENERAL,A,21,2002
"MARTINEZ JR., RICHARD",,2002 GENERAL,A,29,2002
"SNOOK, AL",,2002 GENERAL,A,68,2002
