candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Doug Thron,A,1.0,GRN,2002,15315,132039,11.598845795560402,64065,0,0
Patty Berg,A,1.0,DEM,2002,64065,132039,48.51975552677618,64065,1,0
Rob Brown,A,1.0,REP,2002,52659,132039,39.88139867766341,64065,0,0
Doug Kinyon,A,2.0,DEM,2002,34524,117881,29.287162477413663,79361,0,0
Doug La Malfa,A,2.0,REP,2002,79361,117881,67.3229782577345,79361,1,0
Pete Bret,A,2.0,LIB,2002,3996,117881,3.3898592648518417,79361,0,0
Jon Petersen,A,3.0,LIB,2002,5987,127308,4.702768089986489,78225,0,0
Rick Keene,A,3.0,REP,2002,78225,127308,61.44547082665661,78225,1,0
Stuart R. King,A,3.0,DEM,2002,43096,127308,33.8517610833569,78225,0,0
Scott Warren,A,4.0,DEM,2002,45722,136744,33.43620195401626,91022,0,0
Tim Leslie,A,4.0,REP,2002,91022,136744,66.56379804598373,91022,1,0
Dave Cox,A,5.0,REP,2002,79527,122140,65.11134763386278,79527,1,0
Eric Ulis,A,5.0,DEM,2002,37277,122140,30.519895202226955,79527,0,0
Roberto Leibman,A,5.0,LIB,2002,5336,122140,4.368757163910267,79527,0,0
Joe Nation,A,6.0,DEM,2002,96157,138955,69.20010075204203,96157,1,0
Kenneth A. Hitt,A,6.0,REP,2002,37375,138955,26.89719693425929,96157,0,0
Richard Olmstead,A,6.0,LIB,2002,5423,138955,3.902702313698679,96157,0,0
David Kozlowski,A,7.0,LIB,2002,24386,101787,23.957872812834644,77401,0,0
Patricia Wiggins,A,7.0,DEM,2002,77401,101787,76.04212718716535,77401,1,0
John R. Munn,A,8.0,REP,2002,41482,98842,41.96798931628255,57360,0,0
Lois Wolk,A,8.0,DEM,2002,57360,98842,58.03201068371745,57360,1,0
Darrell Steinberg,A,9.0,DEM,2002,58883,84351,69.80711550544747,58883,1,0
David A. Pegos,A,9.0,REP,2002,22146,84351,26.25457908027172,58883,0,0
Douglas M. Poston,A,9.0,LIB,2002,3322,84351,3.938305414280803,58883,0,0
Alan Nakanishi,A,10.0,REP,2002,72302,120206,60.14841189291717,72302,1,0
Katherine E. Maestas,A,10.0,DEM,2002,47904,120206,39.85158810708284,72302,0,0
Frank Manske,A,11.0,LIB,2002,3752,95462,3.930359724288198,61969,0,0
Jan Denny,A,11.0,REP,2002,29741,95462,31.154805053319645,61969,0,0
Joe Canciamilla,A,11.0,DEM,2002,61969,95462,64.91483522239216,61969,1,0
Howard Epstein,A,12.0,REP,2002,14699,92850,15.830910070005386,72166,0,0
Leland Yee,A,12.0,DEM,2002,72166,92850,77.72320947765212,72166,1,0
Michael F. Denny,A,12.0,LIB,2002,5985,92850,6.445880452342488,72166,0,0
Christopher R. Maden,A,13.0,LIB,2002,5134,110333,4.653186263402608,89921,0,0
Gail E. Neira,A,13.0,REP,2002,15278,110333,13.84717174372128,89921,0,0
Mark Leno,A,13.0,DEM,2002,89921,110333,81.49964199287612,89921,1,0
Loni Hancock,A,14.0,DEM,2002,102373,102373,100.0,102373,1,0
Donna Gerber,A,15.0,DEM,2002,63349,136671,46.351457148919664,73322,0,0
Guy Houston,A,15.0,REP,2002,73322,136671,53.64854285108033,73322,1,0
George Nugent,A,16.0,REP,2002,11634,92354,12.597180414492062,77744,0,0
Richard E. Armstrong,A,16.0,LIB,2002,2976,92354,3.2223834376421165,77744,0,0
Wilma Chan,A,16.0,DEM,2002,77744,92354,84.18043614786582,77744,1,0
Barbara S. Matthews,A,17.0,DEM,2002,42504,75230,56.498737205901904,42504,1,0
Brian McCabe,A,17.0,REP,2002,32726,75230,43.5012627940981,42504,0,0
Ellen M. Corbett,A,18.0,DEM,2002,60627,84655,71.61656133719212,60627,1,0
Jack Hovingh,A,18.0,REP,2002,24028,84655,28.38343866280787,60627,0,0
David Kawas,A,19.0,REP,2002,25668,100488,25.543348459517556,62972,0,0
Gene Mullin,A,19.0,DEM,2002,62972,100488,62.666188997691265,62972,1,0
Jo Chamberlain,A,19.0,GRN,2002,9992,100488,9.943475837910995,62972,0,0
Robert W. Giedt,A,19.0,LIB,2002,1856,100488,1.8469867048801845,62972,0,0
Daniel L. Dow,A,20.0,REP,2002,23108,80075,28.857945675928814,53304,0,0
John A. Dutra,A,20.0,DEM,2002,53304,80075,66.56759288167343,53304,1,0
Keith Lyon,A,20.0,LIB,2002,3663,80075,4.5744614423977525,53304,0,0
Jim Russell,A,21.0,REP,2002,42808,119198,35.91335425091025,72104,0,0
Joe Simitian,A,21.0,DEM,2002,72104,119198,60.490947834695206,72104,1,0
"Raymond M. Bell, Jr.",A,21.0,LIB,2002,4286,119198,3.595697914394537,72104,0,0
Kennita Watson,A,22.0,LIB,2002,4003,83101,4.817029879303498,48543,0,0
Sally J. Lieber,A,22.0,DEM,2002,48543,83101,58.41445951312259,48543,1,0
Stan Kawczynski,A,22.0,REP,2002,30555,83101,36.768510607573916,48543,0,0
Manny Diaz,A,23.0,DEM,2002,42461,52071,81.54442972095792,42461,1,0
"Warner S. Bloomberg, 3rd",A,23.0,GRN,2002,9610,52071,18.455570279042078,42461,0,0
Rebecca Cohn,A,24.0,DEM,2002,69992,69992,100.0,69992,1,0
Dave Cogdill,A,25.0,REP,2002,68949,110983,62.12573096780588,68949,1,0
E. Denise Smith,A,25.0,DEM,2002,42034,110983,37.87426903219412,68949,0,0
Greg Aghazarian,A,26.0,REP,2002,48540,84609,57.36978335638052,48540,1,0
Tom Hallinan,A,26.0,DEM,2002,36069,84609,42.63021664361947,48540,0,0
Chuck Carter,A,27.0,REP,2002,44444,125950,35.2870186581977,77212,0,0
Gordon Sachtjen,A,27.0,LIB,2002,4294,125950,3.4092894005557763,77212,0,0
John Laird,A,27.0,DEM,2002,77212,125950,61.30369194124653,77212,1,0
Jane Howard,A,28.0,REP,2002,27945,71500,39.08391608391608,43555,0,0
Simon Salinas,A,28.0,DEM,2002,43555,71500,60.91608391608392,43555,1,0
