dem_name,dem_vote,district,incumbent,open_LOGADS,open_LOGCOMM,open_LOGCONTRIB,open_LOGFND,open_LOGGENERAL,open_LOGINFO,open_LOGOVERHEAD,open_LOGTOT,rep_name,year,challenger_LOGADS,challenger_LOGCOMM,challenger_LOGCONTRIB,challenger_LOGFND,challenger_LOGGENERAL,challenger_LOGINFO,challenger_LOGOVERHEAD,challenger_LOGTOT,incumbent_LOGADS,incumbent_LOGCOMM,incumbent_LOGCONTRIB,incumbent_LOGFND,incumbent_LOGGENERAL,incumbent_LOGINFO,incumbent_LOGOVERHEAD,incumbent_LOGTOT,avg_vote
"BERG, PATTY",48.51975553,1,0,3.7743249099326865,1.0879017779536504,7.517520850603031,-0.6545984126012208,1.3879307754221273,1.81649240859244,0.9921600925957179,1.2818647822960294,"BROWN, ROBERT K. ""ROB""",2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13115128110366
"BERG, PATTY",61.44220984756674,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TYRONE, RAY",2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42284516546973,10.78104369308064,11.6557262636019,10.880900852818966,12.237147482476173,9.52332462729018,11.441490793285615,12.96329582621884,56.13115128110366
"BERG, PATTY",64.74097372046478,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TYRONE, RAY",2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605170185988092,7.859756725010174,12.142333804563167,11.133727485349024,11.213601217971165,8.006367567650246,10.617811905468262,12.65246387073765,56.13115128110366
"CHESBRO, WESLEY",70.78300718736996,1,0,11.437775103563707,10.887677464701664,11.90280304973668,11.435480762888998,12.424489403135679,9.210340371976184,11.665145825787079,13.206559938179906,"PELL, JAMES J.",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13115128110366
"CHESBRO, WESLEY",61.535474496442525,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"BROOKS, KAREN",2010,9.517530910816005,9.68942761995496,0.0,7.337587743538598,10.575921691498534,8.974744612722734,9.377463685012241,10.953487161283544,12.003509605156705,8.256820143161246,11.622138549943545,11.716772347369727,12.576918220137449,0.0,11.600412670402214,13.158831902915082,56.13115128110366
"SMITH, BRIGHAM SAWYER",29.76548690477797,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DAHLE, BRIAN",2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.399867572320431,9.823887371933044,11.709109738748916,10.840674235378888,12.260787225639547,11.772482253701641,11.637372734100644,13.090133345202661,56.13115128110366
"KINYON, DOUGLAS J",29.28716248,2,0,-10.227311203429279,-12.140721474281928,-8.216088098632316,-9.346902417529249,-12.521354807080245,-10.772061324151466,-11.685633711613155,-13.133844555714354,"LA MALFA, DOUG",2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36074575263064
"MC IVER, BARBARA G.",35.134665215879394,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LA MALFA, DOUG",2004,11.464816568685125,6.5998704992128365,0.0,8.781555458546402,11.636628719275773,9.270211769013573,9.748533466731363,11.808038955903196,11.412948653357835,11.117183830301867,10.798082013301856,11.171208518873133,12.701702110314839,11.50738424070518,11.495184317363927,13.285303845042415,52.36074575263064
"SMITH, MEL",29.458406223777214,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"LA MALFA, DOUG",2006,0.0,10.175416315626554,0.0,0.0,10.175416315626554,0.0,6.913598175965396,10.599505608187755,10.025492330750057,6.446862023964355,11.38411081671121,11.598761635007934,12.190836360605367,11.078862560206693,11.318408849806357,13.606732329542329,52.36074575263064
"SINGH, PAUL R.",34.60109930864225,2,0,-11.627625887586696,-11.74978689447506,-10.423768335072873,-11.055056235207974,-12.997450124558522,-11.843260478735713,-12.068627489831009,-13.466557650778793,"NIELSEN, JIM",2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.36074575263064
