candidate_name,candidate_id,election,office
"GAINES, EDWARD T",1265444,2016 GENERAL,STATE SENATE 01
"ROWEN, ROBERT J.",1383735,2016 GENERAL,STATE SENATE 01
"DODD, BILL",1359048,2016 GENERAL,STATE SENATE 03
"YAMADA, MARIKO M.",1295701,2016 GENERAL,STATE SENATE 03
"GALGIANI, CATHLEEN",1273495,2016 GENERAL,STATE SENATE 05
"NAKANISHI, ALAN S.",1005260,2016 GENERAL,STATE SENATE 05
"GLAZER, STEVEN",1355210,2016 GENERAL,STATE SENATE 07
"RUBAY, JOSEPH A.",1299399,2016 GENERAL,STATE SENATE 07
"SKINNER, NANCY",1303644,2016 GENERAL,STATE SENATE 09
"SWANSON, SANDRE",1268691,2016 GENERAL,STATE SENATE 09
"KIM, JANE",1380847,2016 GENERAL,STATE SENATE 11
"WIENER, SCOTT D.",1376435,2016 GENERAL,STATE SENATE 11
"CIARDELLA, RICHARD",1383605,2016 GENERAL,STATE SENATE 13
"HILL, JERRY A.",1290757,2016 GENERAL,STATE SENATE 13
"BEALL, JIM",1251768,2016 GENERAL,STATE SENATE 15
"CAMPOS, NORA",1318599,2016 GENERAL,STATE SENATE 15
"KAIN, PALMER",1363609,2016 GENERAL,STATE SENATE 17
"MONNING, WILLIAM W.",1297947,2016 GENERAL,STATE SENATE 17
"JACKSON, HANNAH-BETH",1005197,2016 GENERAL,STATE SENATE 19
"WALCH, COLIN",1383292,2016 GENERAL,STATE SENATE 19
"ERVIN, JOHNATHON",1375590,2016 GENERAL,STATE SENATE 21
"WILK, SCOTT T.",1339656,2016 GENERAL,STATE SENATE 21
"MORRELL, MICHAEL L.",1252076,2016 GENERAL,STATE SENATE 23
"O'DONNELL, RONALD J.",,2016 GENERAL,STATE SENATE 23
"ANTONOVICH, MICHAEL D.",1000095,2016 GENERAL,STATE SENATE 25
"PORTANTINO, ANTHONY",1267043,2016 GENERAL,STATE SENATE 25
"FAZIO, STEVE",1379424,2016 GENERAL,STATE SENATE 27
"STERN, HENRY",1374151,2016 GENERAL,STATE SENATE 27
"CHANG, LING-LING",1357038,2016 GENERAL,STATE SENATE 29
"NEWMAN, JOSH B.",1377780,2016 GENERAL,STATE SENATE 29
"REED, RICHARD",1383678,2016 GENERAL,STATE SENATE 31
"ROTH, RICHARD D.",1343716,2016 GENERAL,STATE SENATE 31
"LARA, RICARDO",1304215,2016 GENERAL,STATE SENATE 33
"ROBSON, HONOR MIMI",1386195,2016 GENERAL,STATE SENATE 33
"BRADFORD, STEVEN",1235136,2016 GENERAL,STATE SENATE 35
"FURUTANI, WARREN",1265441,2016 GENERAL,STATE SENATE 35
"GRAYSON, ARI E.",1383650,2016 GENERAL,STATE SENATE 37
"MOORLACH, JOHN",1241305,2016 GENERAL,STATE SENATE 37
"ATKINS, TONI G.",1314678,2016 GENERAL,STATE SENATE 39
"RENISON, JOHN",1383698,2016 GENERAL,STATE SENATE 39
"DAHLE, BRIAN",1224716,2016 GENERAL,ASSEMBLY 01
"COENEN, DONN",,2016 GENERAL,ASSEMBLY 01
"WOOD, JAMES D.",1353393,2016 GENERAL,ASSEMBLY 02
"ANTON, KENNETH R.",,2016 GENERAL,ASSEMBLY 02
"GALLAGHER, JAMES",1357069,2016 GENERAL,ASSEMBLY 03
"RITCHIE, EDWARD H",1383126,2016 GENERAL,ASSEMBLY 03
"AGUIAR-CURRY, CECILIA",1379566,2016 GENERAL,ASSEMBLY 04
"SCHAUPP, CHARLES E.",1301596,2016 GENERAL,ASSEMBLY 04
"BIGELOW, FRANK",1342402,2016 GENERAL,ASSEMBLY 05
"CARABAS, ROBERT J",,2016 GENERAL,ASSEMBLY 05
"CAPLES, BRIAN",1363003,2016 GENERAL,ASSEMBLY 06
"KILEY, KEVIN",1377646,2016 GENERAL,ASSEMBLY 06
"BROWN, RYAN K.",1383289,2016 GENERAL,ASSEMBLY 07
"MC CARTY, KEVIN",1314046,2016 GENERAL,ASSEMBLY 07
"BLOISE, NICK E.",1383732,2016 GENERAL,ASSEMBLY 08
"COOLEY, KEN",1240640,2016 GENERAL,ASSEMBLY 08
"COOPER, JIM",1354349,2016 GENERAL,ASSEMBLY 09
"GORSULOWSKY, TIMOTHY S.",1364380,2016 GENERAL,ASSEMBLY 09
"JACOBI, VERONICA S.",1363625,2016 GENERAL,ASSEMBLY 10
"LEVINE, MARC",1338897,2016 GENERAL,ASSEMBLY 10
"FRAZIER JR., JAMES L.",1341572,2016 GENERAL,ASSEMBLY 11
"MILLER, DAVID J.",1378817,2016 GENERAL,ASSEMBLY 11
"FLORA, HEATH",1376113,2016 GENERAL,ASSEMBLY 12
"VOGEL, KEN",1359744,2016 GENERAL,ASSEMBLY 12
"EGGMAN, SUSAN",1337454,2016 GENERAL,ASSEMBLY 13
"LINCOLN, KEVIN",1383977,2016 GENERAL,ASSEMBLY 13
"GRAYSON, TIM",1376434,2016 GENERAL,ASSEMBLY 14
"TORLAKSON, MAE",1382779,2016 GENERAL,ASSEMBLY 14
"CHIARA, CLAIRE",1382452,2016 GENERAL,ASSEMBLY 15
"THURMOND, TONY",1295704,2016 GENERAL,ASSEMBLY 15
"BAKER, CATHARINE",1358730,2016 GENERAL,ASSEMBLY 16
"COOK-KALLIO, CHERYL",1381102,2016 GENERAL,ASSEMBLY 16
"CHIU, DAVID",1360423,2016 GENERAL,ASSEMBLY 17
"DEL CARLO, MATTHEW S.",1346011,2016 GENERAL,ASSEMBLY 17
"BONTA, ROB",1339733,2016 GENERAL,ASSEMBLY 18
"SLONSKY-BREAULT, ROSEANN",1382453,2016 GENERAL,ASSEMBLY 18
"TAYLOR, CARLOS",1383127,2016 GENERAL,ASSEMBLY 19
"TING, PHIL",1343138,2016 GENERAL,ASSEMBLY 19
"QUIRK, BILL (WILLIAM J.)",1336944,2016 GENERAL,ASSEMBLY 20
"WONG, LUIS A.",1383284,2016 GENERAL,ASSEMBLY 20
"GRAY, ADAM C.",1315410,2016 GENERAL,ASSEMBLY 21
"OPINSKI, GREGORY J.",1383342,2016 GENERAL,ASSEMBLY 21
"MULLIN, KEVIN",1342937,2016 GENERAL,ASSEMBLY 22
"KIESEL, ART",,2016 GENERAL,ASSEMBLY 22
"MORRIS, GWEN L",1381100,2016 GENERAL,ASSEMBLY 23
"PATTERSON, JIM",1346007,2016 GENERAL,ASSEMBLY 23
"BERMAN, MARC",1317907,2016 GENERAL,ASSEMBLY 24
"VEENKER, VICKI",1380629,2016 GENERAL,ASSEMBLY 24
