candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Abel Guillen,A,18,DEM,2012,74422,150287,49.51991855582985,75865,0,0
Rob Bonta,A,18,DEM,2012,75865,150287,50.48008144417015,75865,1,0
Abel Maldonado,S,15,REP,2008,222617,353846,62.91352735370754,222617,1,1
Jim Fitzgerald,S,15,IND,2008,131229,353846,37.08647264629246,222617,0,0
Abigail Medina,A,40,DEM,2016,74589,151126,49.35550467821553,76537,0,0
Marc Steinorth,A,40,REP,2016,76537,151126,50.64449532178447,76537,1,1
Abram Wilson,A,15,REP,2008,115096,240993,47.75906354126469,125897,0,0
Joan Buchanan,A,15,DEM,2008,125897,240993,52.24093645873532,125897,1,0
Abram Wilson,A,15,REP,2010,91378,195819,46.66452182883173,104441,0,0
Joan Buchanan,A,15,DEM,2010,104441,195819,53.33547817116827,104441,1,1
Adam Gray,A,21,DEM,2012,63349,108883,58.1807995738545,63349,1,0
Jack Mobley,A,21,REP,2012,45534,108883,41.8192004261455,63349,0,0
Adam Gray,A,21,DEM,2014,34931,65430,53.386825615161236,34931,1,1
Jack Mobley,A,21,REP,2014,30499,65430,46.61317438483876,34931,0,0
Adam Gray,A,21,DEM,2016,85990,123220,69.78574906670994,85990,1,1
Greg Opinski,A,21,REP,2016,37230,123220,30.21425093329005,85990,0,0
Adam J. Miller,A,63,REP,2014,12781,41325,30.928009679370845,28544,0,0
Anthony Rendon,A,63,DEM,2014,28544,41325,69.07199032062917,28544,1,1
Adam Joshua Miller,A,63,REP,2016,25680,114814,22.36661034368631,89134,0,0
Anthony Rendon,A,63,DEM,2016,89134,114814,77.6333896563137,89134,1,1
Adnan Shahab,A,20,REP,2010,28460,104906,27.12904886279145,76446,0,0
Bob Wieckowski,A,20,DEM,2010,76446,104906,72.87095113720855,76446,1,0
Adrian Galysh,S,20,LIB,2010,6245,138021,4.524673781525999,94356,0,0
Alex Padilla,S,20,DEM,2010,94356,138021,68.36350990066728,94356,1,1
"Kathleen ""Suzy"" Evans",S,20,REP,2010,37420,138021,27.11181631780671,94356,0,0
Adrienne M. Prince,A,37,GRN,2004,7013,182096,3.8512652666725247,100309,0,0
Audra Strickland,A,37,REP,2004,100309,182096,55.08577892979527,100309,1,0
Ferial Masry,A,37,DEM,2004,74774,182096,41.062955803532205,100309,0,0
Adrin Nazarian,A,46,DEM,2012,92870,130798,71.0026147188795,92870,1,0
Jay L. Stern,A,46,REP,2012,37928,130798,28.997385281120508,92870,0,0
Adrin Nazarian,A,46,DEM,2014,45839,64003,71.62008030873552,45839,1,1
Zachary Taylor,A,46,REP,2014,18164,64003,28.379919691264472,45839,0,0
Adrin Nazarian,A,46,DEM,2016,77587,138245,56.12282541864082,77587,1,1
Angela Rupert,A,46,DEM,2016,60658,138245,43.87717458135918,77587,0,0
Al Muratsuchi,A,66,DEM,2012,102136,186508,54.762262208591586,102136,1,0
Craig Huey,A,66,REP,2012,84372,186508,45.237737791408414,102136,0,0
Al Muratsuchi,A,66,DEM,2014,53695,108096,49.67343842510361,54401,0,1
David Hadley,A,66,REP,2014,54401,108096,50.32656157489639,54401,1,0
Al Muratsuchi,A,66,DEM,2016,105336,194644,54.11726022893076,105336,1,0
David Hadley,A,66,REP,2016,89308,194644,45.88273977106924,105336,0,1
Al Phillips,A,16,REP,2012,86803,212755,40.799511174825504,125952,0,0
Joan Buchanan,A,16,DEM,2012,125952,212755,59.20048882517449,125952,1,0
Al Snook,A,68,DEM,2004,50453,129059,39.09297298134962,78606,0,0
Van Tran,A,68,REP,2004,78606,129059,60.90702701865038,78606,1,0
Alan Nakanishi,A,10,REP,2004,121741,160949,75.63948828510895,121741,1,1
Cullene Lang,A,10,LIB,2004,39208,160949,24.360511714891054,121741,0,0
Alan Nakanishi,A,10,REP,2006,84455,137923,61.23344184798765,84455,1,1
Albert R. Troyer,A,10,PF,2006,1974,137923,1.4312333693437642,84455,0,0
Janice Bonser,A,10,LIB,2006,4636,137923,3.361295795480087,84455,0,0
Jim Cook,A,10,DEM,2006,46858,137923,33.974028987188504,84455,0,0
Alan Nakanishi,S,5,REP,2016,133604,308451,43.31449727833594,174847,0,0
Cathleen Galgiani,S,5,DEM,2016,174847,308451,56.68550272166406,174847,1,1
Alan S. Lowenthal,S,27,DEM,2008,171668,254936,67.33768475225155,171668,1,1
Allen G. Wood,S,27,REP,2008,83268,254936,32.66231524774845,171668,0,0
Alan Wapner,A,61,REP,2004,33281,91401,36.412074266145886,58120,0,0
Gloria Negrete McLeod,A,61,DEM,2004,58120,91401,63.587925733854114,58120,1,1
Alana N. Garberoglio,S,6,LIB,2006,4774,197026,2.4230304629845807,115628,0,0
C.T. Weber,S,6,PF,2006,5573,197026,2.828560697572909,115628,0,0
Darrell Steinberg,S,6,DEM,2006,115628,197026,58.68667079471744,115628,1,0
"Paul R. Green, Jr.",S,6,REP,2006,71051,197026,36.06173804472506,115628,0,0
Albert R. Troyer,A,10,PF,2010,3368,160226,2.102030881380051,83177,0,0
Alyson L. Huber,A,10,DEM,2010,83177,160226,51.91229887783506,83177,1,1
Jack Sieglock,A,10,REP,2010,68395,160226,42.68658020545979,83177,0,0
Janice Marlae Bonser,A,10,LIB,2010,5286,160226,3.299090035325104,83177,0,0
Alberto Torrico,A,20,DEM,2004,87724,127838,68.62122373629124,87724,1,0
Cliff Williams,A,20,REP,2004,40114,127838,31.378776263708758,87724,0,0
